date,keyword,google_score
2016-01-01,AI아트,0.0
2016-01-01,Y2K패션,0.0
2016-01-01,달고나커피,0.0
2016-01-01,두바이초콜릿,0.0
2016-01-01,레트로무드,0.0
2016-01-01,마라탕,1.0
2016-01-01,숏폼콘텐츠,0.0
2016-01-01,탕후루,0.0
2016-01-01,허니버터칩,3.0
2016-01-01,흑당버블티,0.0
2016-02-01,AI아트,0.0
2016-02-01,Y2K패션,0.0
2016-02-01,달고나커피,0.0
2016-02-01,두바이초콜릿,0.0
2016-02-01,레트로무드,0.0
2016-02-01,마라탕,0.0
2016-02-01,숏폼콘텐츠,0.0
2016-02-01,탕후루,0.0
2016-02-01,허니버터칩,2.0
2016-02-01,흑당버블티,0.0
2016-03-01,AI아트,0.0
2016-03-01,Y2K패션,0.0
2016-03-01,달고나커피,0.0
2016-03-01,두바이초콜릿,0.0
2016-03-01,레트로무드,0.0
2016-03-01,마라탕,1.0
2016-03-01,숏폼콘텐츠,0.0
2016-03-01,탕후루,0.0
2016-03-01,허니버터칩,2.0
2016-03-01,흑당버블티,0.0
2016-04-01,AI아트,0.0
2016-04-01,Y2K패션,0.0
2016-04-01,달고나커피,0.0
2016-04-01,두바이초콜릿,0.0
2016-04-01,레트로무드,0.0
2016-04-01,마라탕,0.0
2016-04-01,숏폼콘텐츠,0.0
2016-04-01,탕후루,0.0
2016-04-01,허니버터칩,3.0
2016-04-01,흑당버블티,0.0
2016-05-01,AI아트,0.0
2016-05-01,Y2K패션,0.0
2016-05-01,달고나커피,0.0
2016-05-01,두바이초콜릿,0.0
2016-05-01,레트로무드,0.0
2016-05-01,마라탕,2.0
2016-05-01,숏폼콘텐츠,0.0
2016-05-01,탕후루,0.0
2016-05-01,허니버터칩,3.0
2016-05-01,흑당버블티,0.0
2016-06-01,AI아트,0.0
2016-06-01,Y2K패션,0.0
2016-06-01,달고나커피,0.0
2016-06-01,두바이초콜릿,0.0
2016-06-01,레트로무드,0.0
2016-06-01,마라탕,1.0
2016-06-01,숏폼콘텐츠,0.0
2016-06-01,탕후루,0.0
2016-06-01,허니버터칩,2.0
2016-06-01,흑당버블티,0.0
2016-07-01,AI아트,0.0
2016-07-01,Y2K패션,0.0
2016-07-01,달고나커피,0.0
2016-07-01,두바이초콜릿,0.0
2016-07-01,레트로무드,0.0
2016-07-01,마라탕,2.0
2016-07-01,숏폼콘텐츠,0.0
2016-07-01,탕후루,0.0
2016-07-01,허니버터칩,1.0
2016-07-01,흑당버블티,0.0
2016-08-01,AI아트,0.0
