keyword,date,naver_score
허니버터칩,2016-01-01,2.21806
허니버터칩,2016-02-01,1.53524
허니버터칩,2016-03-01,1.49241
허니버터칩,2016-04-01,1.63098
허니버터칩,2016-05-01,1.461
허니버터칩,2016-06-01,1.22887
허니버터칩,2016-07-01,0.82092
허니버터칩,2016-08-01,0.77985
허니버터칩,2016-09-01,0.57661
허니버터칩,2016-10-01,0.8548
허니버터칩,2016-11-01,0.67249
허니버터칩,2016-12-01,0.63358
허니버터칩,2017-01-01,0.61189
허니버터칩,2017-02-01,0.47745
허니버터칩,2017-03-01,0.50282
허니버터칩,2017-04-01,0.52049
허니버터칩,2017-05-01,0.53538
허니버터칩,2017-06-01,0.51289
허니버터칩,2017-07-01,0.47624
허니버터칩,2017-08-01,0.4469
허니버터칩,2017-09-01,0.46507
허니버터칩,2017-10-01,0.58547
허니버터칩,2017-11-01,0.54731
허니버터칩,2017-12-01,0.51782
허니버터칩,2018-01-01,0.71502
허니버터칩,2018-02-01,0.44776
허니버터칩,2018-03-01,0.50151
허니버터칩,2018-04-01,0.4699
허니버터칩,2018-05-01,0.45022
허니버터칩,2018-06-01,0.37764
허니버터칩,2018-07-01,0.32877
허니버터칩,2018-08-01,0.30748
허니버터칩,2018-09-01,0.32278
허니버터칩,2018-10-01,0.41162
허니버터칩,2018-11-01,0.43452
허니버터칩,2018-12-01,0.47705
허니버터칩,2019-01-01,0.47483
허니버터칩,2019-02-01,0.38564
허니버터칩,2019-03-01,0.4539
허니버터칩,2019-04-01,0.3858
허니버터칩,2019-05-01,0.41524
허니버터칩,2019-06-01,0.38177
허니버터칩,2019-07-01,0.41252
허니버터칩,2019-08-01,0.39928
허니버터칩,2019-09-01,0.35776
허니버터칩,2019-10-01,0.44625
허니버터칩,2019-11-01,0.46889
허니버터칩,2019-12-01,0.49557
허니버터칩,2020-01-01,0.47418
허니버터칩,2020-02-01,0.46457
허니버터칩,2020-03-01,0.65684
허니버터칩,2020-04-01,0.55109
허니버터칩,2020-05-01,0.49774
허니버터칩,2020-06-01,0.44353
허니버터칩,2020-07-01,0.49024
허니버터칩,2020-08-01,0.43678
허니버터칩,2020-09-01,0.44443
허니버터칩,2020-10-01,0.64788
허니버터칩,2020-11-01,0.67496
허니버터칩,2020-12-01,0.82369
허니버터칩,2021-01-01,0.74215
허니버터칩,2021-02-01,0.78378
허니버터칩,2021-03-01,0.66001
허니버터칩,2021-04-01,0.59
허니버터칩,2021-05-01,0.62664
허니버터칩,2021-06-01,0.5982
허니버터칩,2021-07-01,0.49285
허니버터칩,2021-08-01,0.48842
허니버터칩,2021-09-01,0.47891
허니버터칩,2021-10-01,0.42118
허니버터칩,2021-11-01,0.42838
허니버터칩,2021-12-01,0.49965
허니버터칩,2022-01-01,0.52678
허니버터칩,2022-02-01,0.47222
허니버터칩,2022-03-01,0.76581
허니버터칩,2022-04-01,0.69736
허니버터칩,2022-05-01,0.56407
허니버터칩,2022-06-01,0.4929
허니버터칩,2022-07-01,0.53966
허니버터칩,2022-08-01,0.51686
허니버터칩,2022-09-01,0.43225
